Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Заболотников Ярослав: Хроники семи королевств. Древняя кровь. Первая книга,1 232 ₽,Заболотников Ярослав,Нет данных,Русское фэнтези,Нет данных,978-5-517-03879-1,16+,2021,494,Твёрдый переплёт,Нет данных,155x220  мм,0.70  кг
Завгородняя Анна: Одиссея Джоанны Кинг,1 359 ₽,Анна Завгородняя,Нет данных,Русское фэнтези,Нет данных,978-5-517-03807-4,16+,2020,482,Твёрдый переплёт,Нет данных,152x216  мм,0.68  кг
Попова Надежда Александровна: Пастырь добрый,2 379 ₽,Надежда Попова,Конгрегация. Рипол,Русское фэнтези,RUGRAM,978-5-517-03021-4,16+,2021,538,Твёрдый переплёт,Нет данных,154x216  мм,0.75  кг
"Баштовая Ксения Николаевна: Карты, деньги, две стрелы",1 444 ₽,Ксения Баштовая,Миры Ксении Баштовой,Русское фэнтези,Нет данных,978-5-517-04059-6,16+,2020,464,Твёрдый переплёт,Нет данных,152x215  мм,0.69  кг
Атаманов Михаил: Альянс неудачников. Котенок и его человек,1 019 ₽,Михаил Атаманов,Нет данных,Русское фэнтези,Нет данных,978-5-517-04050-3,16+,2021,320,Твёрдый переплёт,Нет данных,153x217  мм,0.49  кг
Мелан Вероника: Аарон,1 954 ₽,Вероника Мелан,Город,Русское фэнтези,RUGRAM,978-5-517-03876-0,16+,2020,476,Твёрдый переплёт,Нет данных,152x216  мм,0.59  кг
Сафонова Евгения Сергеевна: Лунный ветер,1 869 ₽,Евгения Сафонова,Взрослые сказки Евгении Сафоновой,Русское фэнтези,Нет данных,978-5-517-03175-4,16+,2020,440,Твёрдый переплёт,Нет данных,152x217  мм,0.64  кг
Архарова Юлия Андреевна: Без права на любовь,1 189 ₽,Юлия Архарова,Наперекор судьбе,Русское фэнтези,Нет данных,978-5-517-03660-5,16+,2020,318,Твёрдый переплёт,Нет данных,153x216  мм,0.48  кг
Шумская Елизавета: Дело о Белом Тигре,1 614 ₽,Елизавета Шумская,Чисто магические убийства,Русское фэнтези,Нет данных,978-5-517-00950-0,16+,2020,404,Твёрдый переплёт,Нет данных,153x217  мм,0.52  кг
Комарова Марина Сергеевна: Практика на Лысой горе,1 614 ₽,Марина Комарова,Миры Марины Комаровой,Русское фэнтези,Нет данных,978-5-517-01982-0,16+,2020,330,Твёрдый переплёт,Нет данных,153x217  мм,0.52  кг
Новолодская Нина: Грезы в его власти,1 232 ₽,Нина Новолодская,Золотой Феникс,Русское фэнтези,Нет данных,978-5-517-03223-2,18+,2020,402,Твёрдый переплёт,Нет данных,153x217  мм,0.53  кг
Каури Лесса: Золушки из трактира на площади,1 614 ₽,Лесса Каури,Сказки Тикрейской земли,Русское фэнтези,Нет данных,978-5-517-03236-2,16+,2020,376,Твёрдый переплёт,Нет данных,153x217  мм,0.58  кг
О’Санчес: Я люблю время,1 529 ₽,О’Санчес,"Иные миры, иные времена",Русское фэнтези,Северо-Запад,978-5-93835-054-0,16+,2020,418,Твёрдый переплёт,Нет данных,154x217  мм,0.61  кг
Дьякова Виктория Борисовна: Черный ангел,977 ₽,Виктория Дьякова,"Иные миры, иные времена",Русское фэнтези,Северо-Запад,978-5-93835-071-7,16+,2020,260,Твёрдый переплёт,Нет данных,154x217  мм,0.42  кг
Головина Оксана Сергеевна: В плену звезд,1 232 ₽,Оксана Головина,Ксореймн. Млечный путь,Русское фэнтези,Нет данных,978-5-517-03244-7,16+,Нет данных,356,Твёрдый переплёт,Нет данных,155x217  мм,0.47  кг
Хорошевский Андрей Юрьевич: Темный призыватель. По ту сторону призыва,577 ₽,Андрей Хорошевский,Фэнтези-магия,Русское фэнтези,АСТ,978-5-17-139099-0,16+,2021,352,Твёрдый переплёт,газетная,130x205  мм,0.29  кг
Волков Николай: Плетение,977 ₽,Николай Волков,Плетение.Рипол,Русское фэнтези,Нет данных,978-5-517-02464-0,16+,2020,248,Твёрдый переплёт,Нет данных,153x217  мм,0.42  кг
Ларосса Юлия: Тихий ветер,1 529 ₽,Юлия Ларосса,Пантеон,Русское фэнтези,Нет данных,978-80-7499-425-8,16+,2020,492,Твёрдый переплёт,Нет данных,155x217  мм,0.61  кг
Соболева Ульяна Павловна: Легенды о проклятых IV. Ослепленные тьмой,1 147 ₽,Ульяна Соболева,Легенды о проклятых,Русское фэнтези,RUGRAM,978-5-517-04852-3,18+,2021,204,Твёрдый переплёт,Нет данных,153x217  мм,0.36  кг
Энте Наталья: Полозовка: повесть,934 ₽,Наталья Энте,Сказания Арконы,Русское фэнтези,Нет данных,978-80-7499-427-2,16+,2021,164,Твёрдый переплёт,Нет данных,152x215  мм,0.31  кг
Баштовая Ксения Николаевна: Марья-царевна из Детской Областной,1 359 ₽,Ксения Баштовая,Миры Ксении Баштовой,Русское фэнтези,RUGRAM,978-5-517-01891-5,16+,2020,298,Твёрдый переплёт,Нет данных,153x217  мм,0.47  кг
Еремеева Марина Владимировна: Протекторы. Иллюзия выбора. Кн.1,1 274 ₽,Марина Еремеева,Протекторы,Русское фэнтези,RUGRAM,978-5-517-05551-4,16+,2021,514,Твёрдый переплёт,Нет данных,152x215  мм,0.64  кг
"Баштовая Ксения Николаевна: Реалити-шоу ""Замок""",1 189 ₽,Ксения Баштовая,Миры Ксении Баштовой,Русское фэнтези,RUGRAM,978-5-517-03936-1,16+,2021,354,Твёрдый переплёт,Нет данных,153x215  мм,0.47  кг
Дьякова Виктория Борисовна: Заговор призраков,1 062 ₽,Виктория Дьякова,"Иные миры, иные времена",Русское фэнтези,Северо-Запад,978-5-93835-070-0,16+,2020,256,Твёрдый переплёт,Нет данных,153x215  мм,0.41  кг
Звездный принц и ангельское яблочко. Сказки,934 ₽,Нет данных,"""Благословение"" им. Сергия Радонежского",Русское фэнтези,Интернациональный Союз писателей,978-5-907306-23-3,12+,2020,152,Мягкий переплёт,Нет данных,146x210  мм,0.20  кг
